id, marks, marks_deducted, total_marks, remarks
2005061, 100, 0, 100,
2005062, 80, 120, 100, plagiarism detected;
2005063, 95, 5, 100,
2005064, 100, 0, 100,
2005065, 0, 100, 100, issue case#2; plagiarism detected;
2005066, 0, 0, 100, issue case#2;
2005067, 0, 10, 100, issue case#3;
2005068, 90, 10, 100,
2005069, 0, 0, 100, missing_submission;
2005070, 0, 0, 100, issue case#2;
2005071, 0, 0, 100, missing_submission;
2005072, 0, 0, 100, missing_submission;
2005073, 0, 10, 100, issue case#3;
2005074, 100, 10, 100, issue case#4;
2005075, 0, 0, 100, missing_submission;
2005076, 0, 0, 100, missing_submission;
2005077, 0, 0, 100, missing_submission;
2005078, 0, 0, 100, missing_submission;
2005079, 0, 0, 100, missing_submission;
2005080, 0, 0, 100, missing_submission;
